5,225,English,Aya: Life in Yop City,2008-01-01
9,35,English,City of Clowns,2015-12-22
10,214,German,David Boring,2010-12-13
11,45,Russian,Дэдпул Истребляет Вселенную Марвел,2012-01-01
12,46,English,Deogratias,2006-01-01
13,178,German,Ed the Happy Clown,1993-01-01
14,178,Swedish,Ed the Happy Clown,1998-01-01
15,50,Spanish,Elektra Lives Again,2007-01-01
16,51,English,Epileptic,2005-01-01
17,52,Hebrew,קרוב רחוק Karov Rahok `close-far`,2008-01-01
18,52,French,Exit Wounds,2007-01-01
19,57,German,From Hell,2002-01-01
20,57,Dutch,From Hell,2010-01-01
21,57,Spanish,From Hell,2001-01-01
23,57,Norwegian,From hell : et victoriansk melodrama,2008-01-01
24,57,French,From Hell,2001-01-01
25,58,French,Fun Home - Une tragicomédie familiale ,2006-01-01
26,58,Italian,Fun Home: A Family Tragicomic,2007-01-01
27,58,Portuguese,Fun Home: Uma tragicomédia em família ,2007-01-01
28,58,German,Fun Home: Eine Familie von Gezeichneten ,2008-01-23
29,58,Polish,Fun Home: Tragikomiks rodzinny ,2009-03-08
30,58,Korean,Fun Home: A Family Tragicomic,
31,58,Hungarian,Fun Home: A Family Tragicomic,
32,60,German,Gemma Bovery,2011-01-01
33,60,Dutch,Gemma Bovery,2005-01-01
34,60,French,Gemma Bovery,2001-01-01
35,61,Dutch,Ghost World,1998-01-01
36,61,French,Monde Fantôme,1997-03-01
37,61,Norwegian,Ghost World,2002-01-01
38,61,Spanish,Mundo fantasmal,2001-01-01
39,61,Polish,Ghost World,2006-01-01
40,173,German,Habibi,2012-01-01
42,1,Dutch,Een contract met God,2008-01-01
43,1,Yiddish,An Opmakh mit Got,1984-01-01
44,219,German,A History of Violence,2006-01-01
46,11,Spanish,Asterios Polyp,2010-01-01
47,11,German,Asterios Polyp,2011-01-01
48,11,Italian,Asterios Polyp,2011-01-01
49,11,French,Asterios Polyp,2010-01-01
50,15,Spanish,Batman: victoria oscura,2012-01-01
51,18,French,Batman. Un long Halloween,2013-01-01
52,207,French,"Big questions : ou l'asomatognosie : au fait, à qui est cette main?",2012-01-01
53,24,German,Black Hole,2011-01-01
54,158,German,Blankets : ein illustrierter Roman,2005-01-01
55,158,Polish,Blankets : pod śnieżną kołderką,2006-01-01
56,25,German,Buddha 1. Kapilavastu,2012-01-01
57,176,German,Bumf,2016-01-01
58,65,French,Hicksville,2001-01-01
59,65,German,Hicksville,2012-01-01
60,213,French,Ice Haven,2010-01-01
61,194,Dutch,I Kill Giants,2011-01-01
62,212,Japanese,Tetsu de tsukutta berubetto no tebukuro no yoni,2005-05-01
63,77,Dutch,Logicomix : een epische zoektocht naar de waarheid,2010-01-01
64,77,French,Logicomix,2010-01-01
65,77,German,Logicomix: Eine epische Suche nach Wahrheit,2010-08-30
66,78,German,Lone Wolf & Cub Bd. I,2006-01-01
68,79,German,Lost Girls,2008-05-26
69,87,French,"Adieu, maman",2005-01-01
72,245,French,Oméga l'inconnu,2012-01-01
73,95,French,Palestine,2010-01-01
75,184,German,Die Löwen von Bagdad nach einer wahren Begebenheit,2007-01-01
76,102,German,RASL,2015-01-01
79,111,French,Loin d'être parfait,2008-01-01
81,112,German,Signal to Noise,2010-01-01
82,114,Dutch,Skim,2010-01-01
83,115,Spanish,Stuck rubber baby : mundos diferentes : una novela gráfica de Howard Cruse,2006-01-01
84,115,German,Stuck Rubber Baby,2011-01-01
85,115,Polish,Stuck rubber baby ,2011-01-01
86,117,Russian,Супермен. Красный сын,2014-01-01
87,4,German,Tale of Sand ,2014-01-01
88,167,French,Tantrum ,2008-01-01
89,119,German,Ein neues Land,2015-06-30
90,121,Japanese,Kyūyaku seisho : sōseikihen,2011-01-01
91,122,Spanish,Los Libros de la Magia ,2006-01-01
92,127,German,Die vollständige Maus,2008-04-01
93,127,Polish,Wydanie zbiorcze : Maus,2016-01-01
94,127,Russian,Маус : рассказ выжившего,2014-01-01
95,127,French,"L'Intégrale, Maus : un survivant raconte",1998-11-01
96,127,Romanian,Maus : povestea unui supravieţuitor,2012-01-01
97,127,Spanish,Maus I y II,2015-06-23
98,127,Catalan,Maus : relat d'un supervivent,2003-01-01
99,128,Nederlands,Persepolis,2013-01-01
100,128,English,The Complete Persepolis,2007-01-01
101,128,German,Persepolis,2013-01-01
102,191,French,Le Nao de Brown,2012-01-01
103,191,German,Das Nao in Brown ,2014-06-05
104,211,French,Le playboy,2013-01-01
106,151,French,Top 10: The Forty-Niners,2007-02-09
107,150,Italian,Verso la tempesta,1998-01-01
108,183,German,Ausgetrickst,2007-01-01
109,183,French,Dernier Rappels,2006-10-10
110,183,Spanish,Estafados,2012-01-01
111,183,Polish,Wykiwani,2009-06-01
114,156,Spanish,Watchmen,2013-01-01
115,156,Nederlands,Watchmen,2009-01-01
116,156,French,Watchmen,2013-01-01
117,156,German,Watchmen,2008-03-13
118,156,Italian,Watchmen,2008-03-01
119,156,Russian,Хранители,2016-01-01
120,215,German,Wimbledon Green der grösste Comicsammler der Welt ,2009-01-01
121,24,Russian,Черная дыра,2010-11-09
122,176,French,Bumf Vol.1,2015-01-01
123,34,German,Stadt aus Glas,2005-08-01
124,221,Spanish,Torpe,2007-01-23
125,221,French,Clumsy,2006-05-10
126,221,Russian,Неуклюжий,2014-01-01
127,40,Russian,Дардевил: Рожденный заново,2014-09-26
128,40,Serbian,Derdevil: Ponovo rođen,2016-01-01
129,40,Italian,Devil: Rinascita,2003-04-01
130,40,Polish,Daredevil: Odrodzony ,2013-01-01
131,40,Portuguese,Demolidor: A Queda De Murdock,2017-06-27
132,40,Croatian,Daredevil: Ponovo rođen,2012-03-20
133,40,French,Daredevil: Renaissance,1997-01-01
134,40,Czech,Daredevil: Zmrtvýchvstání,2013-01-01
135,40,German,Daredevil: Auferstehung,2015-07-20
136,41,Portuguese,Demolidor: O Homem Sem Medo,2009-01-01
137,41,Spanish,Daredevil: El Hombre sin Miedo ,2008-01-01
138,41,Romanian,Daredevil Neînfricatul,2016-04-01
139,41,Czech,Daredevil: Rok jedna,2011-01-01
140,41,Italian,L'uomo senza paura. Daredevil,2015-10-01
141,41,Turkish,Daredevil: Korkusuz,2017-03-01
142,41,German,Daredevil: Der Mann ohne Furcht ,2015-10-12
143,41,French,Daredevil. L'Homme sans peur ,1997-01-01
144,45,Spanish,Deadpool mata al Universo Marvel ,2012-11-01
145,45,Turkish,Deadpool Marvel Evreni’ni Öldürüyor ,2014-03-01
146,45,Romanian,Deadpool Omoară Universul Marvel ,2015-11-15
147,45,French,Deadpool massacre Marvel ,2014-01-01
148,45,German,Deadpool killt das Marvel-Universum ,2013-05-07
149,133,Spanish,El Incal: Integral,2009-11-17
150,133,Italian,L'Incal. Integrale,2008-09-01
151,133,Czech,Incal,2011-01-01
